whole_proteome_IDs	whole_proteome_Uniprot	reference_proteome_Uniprot	interactor_IDs_databases	interactor_SPECIES_ID	X0469.IntAct.	X0471.MINT.	X0486.UniProt.	X0903.mpidb.	X1263.Molecular.Connections.	X1335.HPIDb.	IMEx	missing_protein_evidence	BioGRID_from_Mentha
A0A178U686	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A178U687	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A178U688	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A178U691	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A178U693	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A178U696	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A178U697	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A178U699	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A178U6A1	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A178U6A2	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A178U6A4	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A178U6A6	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A178U6A8	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A178U6A9	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A178U6B1	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A178U6B3	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A178U6B5	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A178U6B7	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A178U6B8	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A178U6B9	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A178U6C0	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A178U6C4	1	0	0	0	0	0	0	0	0	0	0	1	0
